country,province,district,facility,facility_id,month,metformin,sulfonylurea,insulin,statin
Alpha,Milky Way,Aries,Titanium,ZSblcxOWo6n,2022-08,No,No,No,Yes
Alpha,Milky Way,Aries,Titanium,ZSblcxOWo6n,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Titanium,ZSblcxOWo6n,2022-10,No,Yes,Yes,Yes
Alpha,Milky Way,Aries,Titanium,ZSblcxOWo6n,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Titanium,ZSblcxOWo6n,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-02,No,Yes,No,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Vanadium,dbA2FdRfrcD,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Chromium,Ee0vNyLC0AE,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-02,Yes,Yes,No,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-09,Yes,Yes,No,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-10,Yes,Yes,Yes,No
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Manganese,N1mS67t6FNj,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Iron,Vaod0rwZF1x,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-02,No,Yes,No,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Cobalt,It5XHnk9j8l,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-02,Yes,Yes,Yes,No
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Nickel,uqDzDnpPX9X,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-06,Yes,Yes,Yes,No
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-09,Yes,Yes,Yes,No
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-10,No,Yes,No,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Copper,iHL5PaCnepk,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-03,Yes,Yes,Yes,No
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-08,Yes,Yes,Yes,No
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Orion,Zinc,aCgTLZukgbT,2022-12,Yes,Yes,Yes,Yes
